description,timestamp,fullness,collection,location
Columbus @ Clarendon,12/08/2014 03:28:00 AM,GREEN,True,"(42.3471, -71.07368)"
41 Berklee,09/23/2014 02:21:00 AM,GREEN,True,"(42.345723, -71.070175)"
Summer St (NE Corner) @ Atlantic,05/30/2014 01:48:00 PM,YELLOW,False,"(42.35277118, -71.05535542)"
Washington and Boylston (CVS),11/27/2014 01:04:00 AM,YELLOW,False,"(42.35253677, -71.06268501)"
Boylston and Clarendon St (Trinity Church),07/14/2014 12:31:00 PM,GREEN,True,"(42.35062463, -71.07526211)"
367 Mass Ave @ Orange Line T-Entrance (Northside),01/10/2014 11:12:00 AM,GREEN,True,"(42.34175913, -71.08326882)"
West side of Yawkey Way in front of the pro shop,05/25/2014 02:50:00 PM,YELLOW,False,"(42.34552426, -71.09859042)"
563 Columbus Avenue,09/30/2014 08:55:00 PM,GREEN,True,"(42.34087, -71.08143)"
1623 Washington St @ West Concord,12/24/2014 08:29:00 AM,YELLOW,False,"(42.33802, -71.07484)"
SW Van Ness and Yawkey Way,08/02/2014 03:45:00 PM,YELLOW,False,"(42.34528598, -71.0984011)"
Washington st / Macy's,12/07/2014 01:27:00 AM,RED,False,"(42.35483, -71.06117)"
Columbus @ Dartmouth st.,06/15/2014 10:57:00 AM,YELLOW,False,"(42.34604, -71.07515)"
339 Washington St,08/09/2014 05:02:00 PM,YELLOW,False,"(42.3573978, -71.0583383)"
NE Deerfiled and Beacon (City Convenience),12/29/2014 11:58:00 AM,GREEN,True,"(42.34907421, -71.09706099)"
342 Hanover (White Hen Pantry),12/14/2014 04:21:00 PM,RED,False,"(42.3648934, -71.0536149)"
Cambridge and Joy in front of beacon hill athletic club,09/10/2014 08:20:00 AM,YELLOW,False,"(42.3611127, -71.0650131)"
Cross and Salem Street (in front Goody Glovers Bistro),06/16/2014 01:36:00 PM,YELLOW,False,"(42.36300904, -71.05634037)"
St James & Darmouth (Fairmont Hotel),08/22/2014 10:30:00 AM,YELLOW,False,"(42.34929014, -71.07679328)"
860 Comm Ave / Comm (Eastbound) & Armory,08/07/2014 09:31:00 AM,YELLOW,False,"(42.35069392, -71.11390882)"
Boylston St (Prudential Entrance),06/17/2014 09:16:00 PM,YELLOW,False,"(42.34854316, -71.08267211)"
Summer & Chaucey (7-11),05/20/2014 04:52:00 PM,GREEN,True,"(42.35456767, -71.05912703)"
178 Kneeland St (south street diner),01/12/2014 04:36:00 PM,RED,False,"(42.3498437, -71.0577884)"
89 South Street  (Al's South Street Café),06/22/2014 08:45:00 AM,GREEN,True,"(42.351844, -71.057489)"
1304 Commonwealth Avenue @ CVS,01/16/2014 10:35:00 AM,YELLOW,True,"(42.34851176, -71.13421687)"
Boylston & Ring Street - Corner in front of Republic Bank,08/23/2014 08:01:00 PM,GREEN,True,"(42.34907841, -71.08083237)"
900 Boylston St (Capital Grille),11/12/2014 04:09:00 PM,YELLOW,False,"(42.34782955, -71.08538437)"
1336 Washington St.,12/30/2014 10:53:00 AM,YELLOW,False,"(42.3416352, -71.068809)"
South St. @ Beach St.,07/10/2014 06:28:00 PM,YELLOW,False,"(42.3504072, -71.0567736)"
Atlantic Ave and E India Row,03/18/2014 04:57:00 PM,GREEN,True,"(42.35776165, -71.05116584)"
NE corner of Lansdowne and Ipswich (La Verdad),11/06/2014 04:41:00 AM,GREEN,True,"(42.3472243, -71.09445324)"
Summer St @ Staples,07/30/2014 01:40:00 PM,RED,False,"(42.3592067, -71.0588657)"
1695 Tremont Street @ 1 Brigham Circle,06/03/2014 04:10:00 PM,RED,False,"(42.33399485, -71.10458326)"
State St & Surface Rd (in front of Old  Town Trolley Tours),09/02/2014 10:20:00 AM,YELLOW,False,"(42.35943121, -71.0524513)"
SW N. Washington & Causeway,08/03/2014 05:03:00 PM,RED,False,"(42.36671342, -71.05860344)"
75 Dartmouth,09/04/2014 03:49:00 PM,GREEN,True,"(42.345189, -71.07477)"
30 Kneeland,05/11/2014 06:50:00 PM,YELLOW,False,"(42.35078, -71.06184)"
Boylston and Clarendon St (Trinity Church),06/04/2014 04:58:00 PM,GREEN,True,"(42.35062463, -71.07526211)"
Mass Ave North at St Stephens (Across from Symphony),06/29/2014 10:57:00 PM,YELLOW,False,"(42.3435041, -71.0857301)"
15 Lansdowne in front ot House of Blues.,05/07/2014 02:26:00 AM,GREEN,True,"(42.34720359, -71.09565474)"
659 Tremont St,11/26/2014 01:30:00 AM,GREEN,True,"(42.34198461, -71.07515395)"
59 Temple Place,11/11/2014 05:20:00 PM,GREEN,True,"(42.35492047, -71.06156127)"
NE Washington & Summer Street (in front of Macy's),03/31/2014 10:50:00 AM,YELLOW,False,"(42.35543176, -71.06036137)"
218 Hanover ST (cvs),07/27/2014 05:09:00 PM,GREEN,True,"(42.36297845, -71.05539223)"
67 Cambridge Street (across from Kinsale),06/20/2014 09:38:00 AM,GREEN,True,"(42.36063278, -71.06030432)"
Faneuil Hall entrance surface road,06/20/2014 07:19:00 PM,GREEN,True,"(42.36010947, -71.05303455)"
North Ave Bridge @ Moakley Courthouse,07/22/2014 06:10:00 AM,YELLOW,False,"(42.35408047, -71.04839892)"
332 Congress St,02/28/2014 11:01:00 AM,GREEN,True,"(42.350917, -71.049308)"
Avenue De Lafayette and Chancy (on the brick),02/20/2014 11:24:00 AM,YELLOW,False,"(42.35325378, -71.06070493)"
1623 Washington St @ West Concord,06/26/2014 03:53:00 PM,GREEN,True,"(42.33802, -71.07484)"
Washington st at Expressions store,05/09/2014 02:23:00 PM,YELLOW,False,"(42.35465, -71.06139)"
182 Mass Ave,08/12/2014 09:52:00 PM,YELLOW,False,"(42.3455912, -71.0868808)"
Lincoln and Kneeland (World Journal Chinese Daily),05/13/2014 12:40:00 PM,YELLOW,False,"(42.35011319, -71.05873493)"
683 Tremont,04/17/2014 02:38:00 AM,GREEN,True,"(42.34143247, -71.07657887)"
Cambridge St & New Sudbury (new federal building),05/28/2014 07:44:00 PM,GREEN,True,"(42.36108192, -71.06095221)"
182 Mass Ave,05/27/2014 03:53:00 PM,YELLOW,False,"(42.3455912, -71.0868808)"
1114 Washington Street (Ming's Chinese Market),07/23/2014 03:59:00 PM,GREEN,True,"(42.34423812, -71.06570621)"
289 Huntington Ave / Huntington (West) & Gainsborough,11/12/2014 06:07:00 AM,YELLOW,False,"(42.34163422, -71.08656168)"
Summer & Kingston St (Copy&Print),06/11/2014 07:36:00 AM,GREEN,True,"(42.35399223, -71.05857244)"
Newbury & Mass Ave / Opposite of Urban Outfitters,05/12/2014 09:09:00 AM,GREEN,True,"(42.3480288, -71.08803024)"
289 Hanover Street,01/06/2014 07:01:00 PM,GREEN,True,"(42.36389, -71.05433)"
536 Tremont,11/20/2014 10:07:00 AM,YELLOW,False,"(42.34445, -71.07067)"
SE Corner 148 Brookline Ave (in front of Chipotle),08/25/2014 09:01:00 AM,GREEN,True,"(42.34476148, -71.10106409)"
141 Tremont & Temple St (Armed Forces Career Center),06/10/2014 06:01:00 PM,YELLOW,False,"(42.35556787, -71.06287805)"
Summer & Chauncey (Rear Entrance Macy's),04/04/2014 02:06:00 PM,GREEN,False,"(42.3545003, -71.0591524)"
Purchase St & Oliver St,01/22/2014 06:40:00 AM,YELLOW,False,"(42.35521662, -71.05221516)"
Mass Ave. @ Beacon Northbound,01/10/2014 06:41:00 PM,GREEN,False,"(42.35083018, -71.08942683)"
784 Huntington across from Fenwood &,09/19/2014 04:07:00 PM,YELLOW,False,"(42.33369, -71.100577)"
1114 Washington Street (Ming's Chinese Market),03/10/2014 04:09:00 PM,GREEN,True,"(42.34423812, -71.06570621)"
342 Hanover (White Hen Pantry),12/18/2014 11:52:00 AM,YELLOW,False,"(42.3648934, -71.0536149)"
Boylston @ Kilmarnock (NW Corner),12/08/2014 01:49:00 PM,GREEN,True,"(42.34400075, -71.10014488)"
123 Endicott Street,05/16/2014 11:21:00 AM,YELLOW,False,"(42.36467239, -71.05730732)"
Corner of Beach & Harrison - Sovereign Bank,09/02/2014 04:48:00 AM,GREEN,True,"(42.35139273, -71.0612938)"
SE Brookline & Newbury (opp Popeyes chicken),05/05/2014 11:36:00 AM,GREEN,True,"(42.34818234, -71.09744473)"
Court St and Court Square (opp BNY Mellon),06/17/2014 04:31:00 PM,GREEN,True,"(42.35902394, -71.05845139)"
Atlantic Ave and Pearl St,06/25/2014 07:48:00 PM,YELLOW,False,"(42.35398413, -71.05282188)"
Summer & Chaucey (7-11),04/06/2014 04:51:00 AM,GREEN,True,"(42.35456767, -71.05912703)"
470 Atlantic Ave (Atlantic & Pearl),10/12/2014 07:10:00 PM,YELLOW,False,"(42.35463491, -71.05148157)"
53 Dartmouth,03/20/2014 06:22:00 PM,RED,False,"(42.34446654, -71.07437808)"
51 Clarendon/corner Chandler,06/28/2014 01:49:00 AM,GREEN,True,"(42.34634, -71.07312)"
1124 Boylston St.,11/09/2014 04:06:00 PM,YELLOW,False,"(42.3467963, -71.0889104)"
